Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Apartment,1000000,3.0,2.0,100.0,No,2,Unknown,Cash,Ready to move,Finished,Mansura
Apartment,875000,3.0,2.0,150.0,No,2,Unknown,Cash or Installment,2024,Semi Finished,6th of October
Apartment,1750000,4.0,3.0,210.0,No,2,Unknown,Cash or Installment,Unknown,Semi Finished,6th of October
Apartment,1500000,4.0,2.0,170.0,Yes,8,Unknown,Cash,Unknown,Unknown ,Mohandessin
Apartment,2950000,1.0,1.0,106.0,No,Ground,Aeon,Cash,Ready to move,Semi Finished,Sheikh Zayed
Studio,2704082,1.0,2.0,59.0,Unknown,10+,ZED Towers,Installment,Unknown,Finished,Sheikh Zayed
Apartment,2700000,2.0,2.0,123.0,No,2,Galleria Moon Valley,Installment,Ready to move,Core & Shell,New Cairo - El Tagamoa
Apartment,1526400,3.0,2.0,212.0,Unknown,2,Beit Al Watan,Installment,2023,Semi Finished,New Damietta
Apartment,670000,3.0,1.0,110.0,No,5,Unknown,Cash or Installment,Unknown,Unknown ,Ismailia City
Apartment,750000,3.0,2.0,120.0,No,1,Unknown,Cash,within 6 months,Finished,10th of Ramadan
Apartment,2350000,3.0,2.0,195.0,No,Ground,Unknown,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,2100000,3.0,2.0,160.0,Yes,2,Unknown,Cash,Unknown,Finished,Mohandessin
Apartment,4400000,4.0,3.0,200.0,Unknown,3,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1350000,3.0,2.0,185.0,No,2,Unknown,Cash or Installment,Ready to move,Semi Finished,Zahraa Al Maadi
Apartment,1648000,3.0,3.0,160.0,Unknown,3,Midtown Condo,Cash or Installment,2023,Core & Shell,New Capital City
Apartment,5550000,2.0,2.0,124.0,No,1,Belle Vie,Cash,2025,Finished,Sheikh Zayed
Apartment,220000,2.0,1.0,55.0,No,1,Unknown,Cash,Ready to move,Finished,Heliopolis
Apartment,1613800,3.0,3.0,182.0,Unknown,1,Unknown,Unknown Payment,Unknown,Semi Finished,New Cairo - El Tagamoa
Penthouse,3700000,4.0,3.0,263.0,No,3,El Khamayel,Cash or Installment,Ready to move,Finished,Sheikh Zayed
Apartment,3800000,3.0,3.0,198.0,No,2,Unknown,Cash,Ready to move,Finished,Sheikh Zayed
Apartment,3625000,2.0,2.0,160.0,Unknown,1,Mountain View iCity,Cash or Installment,Unknown,Unknown ,Hadayek 6th of October
Apartment,3000000,3.0,3.0,162.0,No,4,Rehab City,Cash,Unknown,Finished,Rehab City
Apartment,2500000,3.0,2.0,140.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,3800000,3.0,2.0,195.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Penthouse,4128000,3.0,3.0,301.0,Unknown,3,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,4100000,4.0,3.0,253.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,2520000,3.0,2.0,145.0,Unknown,1,The Address East,Unknown Payment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,2100000,3.0,2.0,169.0,Unknown,2,Aria,Cash or Installment,2022,Semi Finished,New Cairo - El Tagamoa
Apartment,2600000,2.0,3.0,135.0,No,Ground,Hyde Park New Cairo,Cash,Ready to move,Core & Shell,New Cairo - El Tagamoa
Apartment,1400000,2.0,2.0,116.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,4500000,3.0,3.0,192.0,Unknown,2,Unknown,Cash,Ready to move,Unknown ,New Cairo - El Tagamoa
Penthouse,3300000,3.0,3.0,167.0,No,2,Fifth Square,Cash or Installment,2022,Finished,New Cairo - El Tagamoa
Apartment,5300000,3.0,3.0,205.0,No,2,Fifth Square,Unknown Payment,Unknown,Finished,New Cairo - El Tagamoa
Apartment,370000,3.0,2.0,130.0,Unknown,3,Unknown,Cash or Installment,Ready to move,Not Finished,Dar al-Salaam
Duplex,4350000,3.0,3.0,234.0,No,2,Hyde Park New Cairo,Cash or Installment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,3100000,3.0,2.0,185.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,1500000,2.0,1.0,70.0,Yes,3,Madinaty,Cash or Installment,Ready to move,Finished,Madinaty
Apartment,690000,3.0,2.0,115.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Unknown ,Hadayek al-Ahram
Apartment,1650000,2.0,1.0,96.0,No,4,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,800000,3.0,2.0,176.0,Unknown,3,Unknown,Cash or Installment,soon,Finished,New Cairo - El Tagamoa
Apartment,925000,2.0,1.0,84.0,No,4,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,480000,2.0,1.0,78.0,No,1,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,1680000,3.0,2.0,116.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1700000,3.0,2.0,116.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,3600000,4.0,3.0,200.0,Unknown,2,Unknown,Cash or Installment,Ready to move,Finished,Madinaty
Apartment,4100000,3.0,3.0,244.0,Unknown,Ground,Unknown,Cash,Ready to move,Finished,Madinaty
Apartment,3185300,3.0,2.0,108.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Apartment,2204875,2.0,2.0,155.0,No,Ground,Sephora Heights,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,2700000,3.0,3.0,179.0,Unknown,Ground,Unknown,Installment,Unknown,Unknown ,6th of October
Apartment,3100000,3.0,3.0,147.0,Unknown,2,Unknown,Installment,Unknown,Unknown ,6th of October
Apartment,350000,3.0,1.0,108.0,No,10,Unknown,Cash,Ready to move,Not Finished,Sidi Beshr
Apartment,2400000,2.0,2.0,118.0,Unknown,3,Unknown,Installment,Unknown,Unknown ,6th of October
Apartment,2200000,2.0,2.0,122.0,Unknown,2,Unknown,Installment,Unknown,Unknown ,6th of October
Apartment,3800000,3.0,3.0,248.0,Unknown,2,Unknown,Installment,Unknown,Unknown ,6th of October
Apartment,290000,2.0,1.0,100.0,No,3,Unknown,Cash,Unknown,Finished,Nakheel
Apartment,5707888,2.0,2.0,121.0,No,Ground,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,1273000,3.0,3.0,190.0,No,Ground,Unknown,Installment,2023,Semi Finished,New Damietta
Apartment,440000,3.0,2.0,130.0,No,3,Unknown,Cash,Unknown,Finished,Nakheel
Apartment,600000,2.0,1.0,70.0,Yes,2,Unknown,Cash,Ready to move,Finished,Sheikh Zayed
Apartment,2750000,4.0,2.0,180.0,Yes,6,Unknown,Cash,Ready to move,Finished,Maadi
Apartment,980000,3.0,2.0,180.0,No,4,Unknown,Cash,Ready to move,Finished,Hadayek al-Ahram
Apartment,400000,3.0,1.0,100.0,No,1,Unknown,Cash,Unknown,Finished,Bacchus
Apartment,2543129,3.0,2.0,130.0,No,2,Mountain View iCity,Installment,soon,Unknown ,6th of October
Duplex,3886383,3.0,3.0,235.0,No,Ground,Mountain View iCity,Installment,soon,Not Finished,6th of October
Duplex,4787252,3.0,3.0,270.0,No,Highest,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,3867322,4.0,3.0,220.0,No,1,Mountain View iCity,Installment,soon,Unknown ,6th of October
Apartment,2838367,2.0,2.0,100.0,No,Ground,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,2931567,3.0,3.0,140.0,No,Ground,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,880000,3.0,2.0,190.0,No,4,Unknown,Cash,Unknown,Unknown ,Hadayek al-Ahram
Apartment,1640000,3.0,2.0,168.0,No,3,Not in Compound,Unknown Payment,Ready to move,Core & Shell,Obour City
Apartment,3500000,3.0,3.0,180.0,No,2,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,1750000,3.0,2.0,116.0,No,3,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,10000000,4.0,4.0,338.0,No,1,Unknown,Cash,Ready to move,Finished,Nasr City
Apartment,700000,2.0,1.0,100.0,No,2,Unknown,Cash,Ready to move,Finished,Hurghada
Apartment,5800000,4.0,4.0,338.0,Yes,4,Unknown,Cash,Ready to move,Finished,Nasr City
Apartment,2050000,3.0,2.0,185.0,No,3,Unknown,Cash or Installment,Ready to move,Unknown ,Hurghada
Apartment,2600000,3.0,2.0,131.0,Unknown,4,Rehab City,Unknown Payment,soon,Unknown ,Rehab City
Apartment,6390000,3.0,3.0,170.0,No,3,EL Patio 7,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,250000,4.0,5.0,170.0,Unknown,3,Swan Lake,Installment,Unknown,Finished,New Cairo - El Tagamoa
Apartment,920000,3.0,2.0,175.0,No,2,Unknown,Cash,Unknown,Finished,Hadayek al-Ahram
Apartment,4767888,2.0,2.0,115.0,No,1,Cairo Gate,Installment,soon,Finished,Sheikh Zayed
Apartment,3753888,1.0,1.0,86.0,No,3,Cairo Gate,Installment,soon,Finished,Sheikh Zayed
Apartment,413000,3.0,2.0,165.0,No,Ground,Unknown,Cash or Installment,Ready to move,Unknown ,Shorouk City
Apartment,1900000,2.0,1.0,135.0,Unknown,2,Unknown,Cash,Ready to move,Finished,Heliopolis
Apartment,4100000,3.0,3.0,250.0,No,Ground,Mountain View iCity,Installment,2025,Semi Finished,6th of October
Apartment,1150000,2.0,2.0,165.0,No,3,Unknown,Cash,Unknown,Finished,Hadayek al-Ahram
Duplex,4100000,4.0,4.0,400.0,No,Ground,Mountain View Chillout Park,Cash,Ready to move,Semi Finished,Sheikh Zayed
Apartment,550000,3.0,1.0,105.0,No,3,Baet El Masria,Cash,Ready to move,Finished,Hadayek 6th of October
Apartment,36000,3.0,2.0,161.0,No,2,Unknown,Cash or Installment,Ready to move,Unknown ,New Cairo - El Tagamoa
Apartment,3000000,4.0,2.0,204.0,Unknown,10+,Unknown,Cash,2022,Finished,Agouza
Apartment,1275000,3.0,3.0,177.0,No,2,Unknown,Cash or Installment,Ready to move,Semi Finished,Shorouk City
Apartment,1800000,2.0,2.0,96.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,825000,3.0,2.0,215.0,No,4,Unknown,Cash,Ready to move,Finished,Hadayek al-Ahram
Apartment,950000,3.0,1.0,150.0,Unknown,1,Unknown,Unknown Payment,Ready to move,Finished,Tanta
Apartment,1750000,4.0,2.0,135.0,No,4,Unknown,Cash,Ready to move,Finished,Maadi
Apartment,370000,3.0,3.0,198.0,No,2,Unknown,Cash or Installment,Unknown,Finished,New Capital City
Apartment,270000,3.0,2.0,160.0,No,3,Unknown,Cash or Installment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,250000,3.0,2.0,153.0,No,1,Unknown,Cash or Installment,Unknown,Semi Finished,Madinaty
Apartment,1650000,4.0,2.0,135.0,No,4,Unknown,Cash,Ready to move,Finished,Tura
Apartment,300000,3.0,2.0,180.0,No,2,Unknown,Cash or Installment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,340000,3.0,2.0,158.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,New Capital City
Apartment,250000,3.0,2.0,159.0,No,2,Unknown,Cash or Installment,Unknown,Not Finished,New Capital City
Apartment,980000,3.0,1.0,150.0,No,9,Unknown,Cash,Unknown,Semi Finished,Faisal District
Apartment,280000,3.0,2.0,204.0,Yes,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,New Capital City
Apartment,294000,3.0,2.0,143.0,No,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,New Capital City
Apartment,1850000,3.0,2.0,170.0,No,5,Unknown,Cash,Ready to move,Finished,Maadi
Apartment,775000,2.0,1.0,70.0,No,4,Unknown,Cash,Ready to move,Unknown ,Sheikh Zayed
Apartment,250000,3.0,2.0,169.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,420000,3.0,2.0,191.0,No,2,Unknown,Cash or Installment,Unknown,Not Finished,New Cairo - El Tagamoa
Apartment,370000,3.0,2.0,157.0,No,2,Unknown,Cash or Installment,Unknown,Not Finished,New Cairo - El Tagamoa
Apartment,750000,3.0,1.0,112.0,No,7,Unknown,Cash,Ready to move,Finished,Zahraa Al Maadi
Apartment,1650000,2.0,2.0,96.0,No,4,Madinaty,Unknown Payment,Unknown,Finished,Madinaty
Apartment,5315888,2.0,2.0,117.0,No,5,Cairo Gate,Installment,soon,Finished,Sheikh Zayed
Apartment,4500000,3.0,4.0,236.0,No,1,Aeon,Installment,Ready to move,Unknown ,6th of October
Apartment,800000,3.0,1.0,108.0,No,10+,Unknown,Cash or Installment,Ready to move,Finished,Mandara
Apartment,2150000,3.0,1.0,107.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Unknown ,Madinaty
Duplex,2963820,4.0,4.0,277.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,218000,3.0,2.0,155.0,Unknown,7,De Joya,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,2125000,2.0,2.0,134.0,Unknown,2,Al Burouj,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,3100000,3.0,2.0,175.0,No,5,Madinaty,Cash,Unknown,Finished,Madinaty
Apartment,2350000,3.0,2.0,210.0,Unknown,3,Unknown,Cash,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,1650000,2.0,2.0,96.0,No,4,Unknown,Cash or Installment,Unknown,Finished,Madinaty
Apartment,290000,3.0,3.0,199.0,No,Ground,Unknown,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,1250000,2.0,1.0,100.0,Unknown,1,Unknown,Cash,Unknown,Finished,Smoha
Apartment,1162500,3.0,2.0,155.0,No,2,The City,Cash,within 6 months,Semi Finished,New Capital City
Apartment,415000,3.0,2.0,141.0,No,3,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,700000,2.0,1.0,95.0,No,6,Unknown,Cash,Ready to move,Finished,Helmeyat El Zaytoun
Apartment,1470000,3.0,2.0,116.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,Madinaty
Apartment,1480000,3.0,2.0,165.0,Unknown,1,Andalus,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,385000,4.0,4.0,337.0,Unknown,2,Unknown,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,260000,3.0,2.0,170.0,No,1,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,260000,3.0,2.0,170.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,Rehab City
Apartment,370000,3.0,2.0,157.0,No,3,Hyde Park New Cairo,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,280000,3.0,2.0,160.0,No,3,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,449000,3.0,3.0,165.0,No,Ground,Hyde Park New Cairo,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,345000,3.0,2.0,145.0,No,Ground,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,2900000,3.0,3.0,128.0,No,2,Tag Sultan,Installment,Ready to move,Core & Shell,New Cairo - El Tagamoa
Apartment,750000,3.0,1.0,115.0,No,10,Unknown,Cash,soon,Finished,Nasr City
Apartment,270000,3.0,2.0,170.0,No,3,Unknown,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,172000,3.0,2.0,145.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,7000000,5.0,4.0,340.0,No,1,Al Burouj,Cash or Installment,soon,Finished,Shorouk City
Apartment,2500000,4.0,2.0,250.0,No,2,Not in Compound,Cash,Ready to move,Finished,Mokattam
Apartment,5875664,3.0,2.0,154.0,No,Ground,Sun Capital,Installment,Ready to move,Unknown ,6th of October
Apartment,1350000,3.0,2.0,135.0,No,2,Makany,Cash or Installment,Ready to move,Not Finished,Katameya
Apartment,500000,3.0,2.0,194.0,No,10+,Unknown,Cash or Installment,Unknown,Finished,North Coast
Apartment,1200000,3.0,3.0,170.0,Unknown,3,Unknown,Cash or Installment,soon,Semi Finished,Sheikh Zayed
Apartment,340000,3.0,3.0,180.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Unknown ,Only in Apartments & Duplex for Sale
Apartment,2400000,3.0,2.0,125.0,No,Ground,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1660000,3.0,2.0,175.0,No,1,Unknown,Cash or Installment,soon,Semi Finished,Sheikh Zayed
Apartment,2000000,3.0,2.0,123.0,No,3,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,330000,3.0,2.0,170.0,No,2,Unknown,Cash or Installment,Unknown,Not Finished,New Cairo - El Tagamoa
Apartment,1710000,3.0,3.0,180.0,Unknown,2,Unknown,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed
Apartment,2400000,4.0,3.0,200.0,Unknown,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,330000,3.0,2.0,160.0,No,3,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,210000,3.0,2.0,165.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,New Capital City
Apartment,1500000,1.0,1.0,250.0,Unknown,3,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,2580000,3.0,3.0,160.0,No,Ground,EL Patio 7,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,300000,3.0,2.0,155.0,No,3,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Penthouse,5950000,5.0,4.0,350.0,Unknown,3,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,5030000,3.0,3.0,250.0,No,4,Palm Hills New Cairo,Installment,soon,Unknown ,New Cairo - El Tagamoa
Apartment,2100000,2.0,2.0,110.0,No,Ground,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,112000,2.0,2.0,97.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,Sheikh Zayed
Apartment,925000,3.0,2.0,150.0,No,2,Unknown,Unknown Payment,Unknown,Semi Finished,Hadayek 6th of October
Apartment,2800000,3.0,2.0,200.0,Unknown,1,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1500000,3.0,3.0,158.0,Unknown,4,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,300000,3.0,2.0,170.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,850000,3.0,2.0,180.0,Unknown,7,Unknown,Cash,Ready to move,Finished,Haram
Apartment,186000,3.0,3.0,166.0,No,4,Unknown,Installment,Ready to move,Finished,Alamein
Apartment,2300000,3.0,2.0,134.0,No,10+,Unknown,Cash,Unknown,Finished,Maadi
Apartment,3837000,2.0,2.0,138.0,No,3,90 Avenue,Installment,2023,Finished,New Cairo - El Tagamoa
Apartment,3500000,3.0,3.0,170.0,No,2,Galleria Moon Valley,Installment,Ready to move,Core & Shell,New Cairo - El Tagamoa
Apartment,2650000,1.0,1.0,58.0,Unknown,7,Unknown,Installment,Unknown,Finished,New Capital City
Apartment,1986000,3.0,3.0,188.0,No,3,Unknown,Cash or Installment,Unknown,Semi Finished,New Capital City
